Local Time,UTC Time,City,Country Code,Timezone,AQI,CO,NO2,O3,PM10,PM25,SO2,Clouds,Precipitation,Pressure,Relative Humidity,Temperature,UV Index,Wind Speed
2023-06-08 00:00:00,2023-06-07T17:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,118,168.7,32.3,74.7,52.5,42.0,57.3,37,0.5,1004,87,29.3,0.0,1.33
2023-06-08 01:00:00,2023-06-07T18:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,115,169.8,32.0,66.0,51.3,41.0,64.0,50,1.0,1004,88,29.0,0.0,1.0
2023-06-08 02:00:00,2023-06-07T19:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,112,166.7,29.3,63.7,50.0,40.0,66.0,62,1.0,1003,89,28.9,0.0,0.66
2023-06-08 03:00:00,2023-06-07T20:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,121,163.6,26.7,61.3,53.8,43.0,68.0,75,0.5,1003,90,28.7,0.0,0.33
2023-06-08 04:00:00,2023-06-07T21:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,134,160.5,24.0,59.0,60.0,48.0,70.0,87,0.0,1003,92,28.6,0.0,1.2
2023-06-08 05:00:00,2023-06-07T22:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,134,156.0,23.7,59.3,60.0,48.0,62.0,75,0.0,1003,91,28.7,0.0,0.33
2023-06-08 06:00:00,2023-06-07T23:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,112,151.5,23.3,59.7,50.0,40.0,54.0,62,0.0,1004,91,28.9,0.7,0.66
2023-06-08 07:00:00,2023-06-08T00:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,112,147.1,23.0,60.0,50.0,40.0,46.0,50,0.0,1004,91,29.0,0.9,1.0
2023-06-08 08:00:00,2023-06-08T01:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,123,141.4,21.0,75.3,55.0,44.0,53.3,45,0.0,1004,84,29.9,1.4,1.33
2023-06-08 09:00:00,2023-06-08T02:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,145,135.8,19.0,90.7,65.0,52.0,60.7,41,0.0,1004,79,30.9,2.1,1.66
2023-06-08 10:00:00,2023-06-08T03:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,152,130.1,17.0,106.0,71.3,57.0,68.0,37,0.0,1004,74,31.8,2.9,2.0
2023-06-08 11:00:00,2023-06-08T04:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,152,134.6,16.7,124.3,71.3,57.0,77.0,54,0.0,1003,74,31.9,3.5,2.0
2023-06-08 12:00:00,2023-06-08T05:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,131,139.1,16.3,142.7,58.8,47.0,86.0,70,0.0,1003,75,31.9,3.7,2.0
2023-06-08 13:00:00,2023-06-08T06:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,131,143.6,16.0,161.0,58.8,47.0,95.0,87,0.0,1002,76,32.0,3.5,2.0
2023-06-08 14:00:00,2023-06-08T07:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,152,147.5,17.3,162.0,71.3,57.0,98.3,87,0.0,1001,69,32.7,2.8,1.66
2023-06-08 15:00:00,2023-06-08T08:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,139,151.3,18.7,163.0,62.5,50.0,101.7,87,0.0,1001,63,33.5,2.0,1.33
2023-06-08 16:00:00,2023-06-08T09:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,121,155.2,20.0,164.0,53.8,43.0,105.0,87,0.5,1000,58,34.2,1.2,1.0
2023-06-08 17:00:00,2023-06-08T10:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,123,183.3,39.0,129.7,55.0,44.0,90.3,75,0.0,1000,63,33.0,0.8,1.16
2023-06-08 18:00:00,2023-06-08T11:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,148,211.3,58.0,95.3,66.3,53.0,75.7,62,0.0,1001,68,31.9,0.6,1.33
2023-06-08 19:00:00,2023-06-08T12:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,197,239.3,77.0,61.0,113.8,91.0,61.0,50,1.0,1001,73,30.7,0.0,1.5
2023-06-08 20:00:00,2023-06-08T13:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,163,220.2,64.7,60.0,81.3,65.0,58.3,37,1.0,1002,79,29.5,0.0,1.66
2023-06-08 21:00:00,2023-06-08T14:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,134,201.1,52.3,59.0,60.0,48.0,55.7,25,0.5,1002,86,28.4,0.0,1.83
2023-06-08 22:00:00,2023-06-08T15:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,82,182.1,40.0,58.0,33.8,27.0,53.0,12,2.5,1002,93,27.2,0.0,2.0
2023-06-08 23:00:00,2023-06-08T16:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,89,171.8,36.7,57.0,37.5,30.0,44.7,33,5.0,1003,93,26.8,0.0,2.0
2023-06-09 00:00:00,2023-06-08T17:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,89,161.5,33.3,56.0,37.5,30.0,36.3,54,4.75,1003,94,26.4,0.0,2.0
2023-06-09 01:00:00,2023-06-08T18:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,46,151.2,30.0,55.0,13.8,11.0,28.0,75,4.75,1004,94,26.0,0.0,2.0
2023-06-09 02:00:00,2023-06-08T19:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,50,147.3,26.3,53.3,15.0,12.0,29.7,83,1.75,1003,94,25.8,0.0,1.66
2023-06-09 03:00:00,2023-06-08T20:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,54,143.4,22.7,51.7,17.5,14.0,31.3,91,0.75,1003,95,25.7,0.0,1.33
2023-06-09 04:00:00,2023-06-08T21:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,52,139.5,19.0,50.0,16.3,13.0,33.0,100,1.5,1002,95,25.5,0.0,1.0
2023-06-09 05:00:00,2023-06-08T22:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,52,150.4,22.3,48.0,16.3,13.0,33.7,100,1.0,1003,94,25.7,0.0,0.66
2023-06-09 06:00:00,2023-06-08T23:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,65,161.3,25.7,46.0,23.8,19.0,34.3,100,0.5,1003,93,26.0,0.6,0.33
2023-06-09 07:00:00,2023-06-09T00:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,65,172.2,29.0,44.0,23.8,19.0,35.0,100,0.5,1004,93,26.2,0.8,2.4
2023-06-09 08:00:00,2023-06-09T01:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,59,174.1,30.3,52.3,20.0,16.0,41.0,95,0.25,1004,88,27.2,1.3,0.66
2023-06-09 09:00:00,2023-06-09T02:00:00,Hanoi,VN,Asia/Ho_Chi_Minh,56,176.1,31.7,60.7,18.8,15.0,47.0,91,0.25,1004,83,28.2,2.1,1.33
